mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.0374434232711792,0.005129489870757998,0.0,0.0,0.001,l1,"{'C': 0.001, 'penalty': 'l1'}",,,,,,,,,,,,,8
0.3427953481674194,0.054211119358191784,0.010353994369506837,0.003030736909749121,0.001,l2,"{'C': 0.001, 'penalty': 'l2'}",0.8714285714285714,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.871410201457351,0.871410201457351,0.871410201457351,0.871410201457351,0.8715530790112873,0.8714336741983549,4.073276191185211e-05,1
0.03597526550292969,0.002839332812071832,0.0,0.0,0.01,l1,"{'C': 0.01, 'penalty': 'l1'}",,,,,,,,,,,,,9
0.5500734806060791,0.04614256527203217,0.010412836074829101,0.00258838977542678,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",0.8714285714285714,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.871410201457351,0.871410201457351,0.871410201457351,0.871410201457351,0.8715530790112873,0.8714336741983549,4.073276191185211e-05,1
0.03779568672180176,0.012343472372138268,0.0,0.0,0.1,l1,"{'C': 0.1, 'penalty': 'l1'}",,,,,,,,,,,,,10
1.27234787940979,0.16185407602332486,0.01023397445678711,0.002079806574953187,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",0.8714285714285714,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.871410201457351,0.871410201457351,0.871410201457351,0.871410201457351,0.8715530790112873,0.8714336741983549,4.073276191185211e-05,1
0.034505605697631836,0.008582599948287228,0.0,0.0,1.0,l1,"{'C': 1.0, 'penalty': 'l1'}",,,,,,,,,,,,,11
2.8607009172439577,0.13591893296258298,0.01071617603302002,0.0019487150590367216,1.0,l2,"{'C': 1.0, 'penalty': 'l2'}",0.8714285714285714,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.871410201457351,0.871410201457351,0.871410201457351,0.871410201457351,0.8715530790112873,0.8714336741983549,4.073276191185211e-05,1
0.03887479305267334,0.011445898883942754,0.0,0.0,10.0,l1,"{'C': 10.0, 'penalty': 'l1'}",,,,,,,,,,,,,12
5.578733825683594,0.5241210768522626,0.009619903564453126,0.001163105555689153,10.0,l2,"{'C': 10.0, 'penalty': 'l2'}",0.8714285714285714,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.871410201457351,0.871410201457351,0.871410201457351,0.871410201457351,0.8715530790112873,0.8714336741983549,4.073276191185211e-05,1
0.03496706485748291,0.010141525442199225,0.0,0.0,100.0,l1,"{'C': 100.0, 'penalty': 'l1'}",,,,,,,,,,,,,13
4.543768692016601,0.7383192232922503,0.011405634880065917,0.0030147020034404764,100.0,l2,"{'C': 100.0, 'penalty': 'l2'}",0.8714285714285714,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.871410201457351,0.871410201457351,0.871410201457351,0.871410201457351,0.8715530790112873,0.8714336741983549,4.073276191185211e-05,1
0.03790080547332764,0.00940720367290975,0.0,0.0,1000.0,l1,"{'C': 1000.0, 'penalty': 'l1'}",,,,,,,,,,,,,14
5.393272566795349,0.9609396891426469,0.010373401641845702,0.0018179154653693616,1000.0,l2,"{'C': 1000.0, 'penalty': 'l2'}",0.8714285714285714,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.871410201457351,0.871410201457351,0.871410201457351,0.871410201457351,0.8715530790112873,0.8714336741983549,4.073276191185211e-05,1
